title,cluster
P.S. I Love You,1
Saving Mr. Banks,4
Mamma Mia! Here We Go Again,1
A Monster Calls,0
Natural Born Killers,0
Lethal Weapon 2,1
Willy Wonka & the Chocolate Factory,1
The Raid,1
Cape Fear,3
Vice,3
Planet of the Apes,2
Harry Potter 20th Anniversary Return to Hogwarts,1
Wild Tales,1
Finch,1
Battle Royale,3
A Dog's Purpose,1
Before Sunset,3
The Wave,3
Minions The Rise of Gru,2
Primal Fear,0
Lightyear,1
Thelma & Louise,1
The Great Dictator,1
The Devil All the Time,1
The Artist,3
Brazil,1
Scent of a Woman,0
The Graduate,4
Ghost in the Shell,2
Chef,1
Eastern Promises,3
The Sound of Music,4
Patch Adams,4
The Fox and the Hound,2
Blue Velvet,1
The Last Duel,4
End of Watch,1
The Hunt for Red October,0
The Lincoln Lawyer,1
The Longest Ride,1
Raw,0
Trading Places,2
Brooklyn,1
Porco Rosso,4
The King,3
"Crouching Tiger, Hidden Dragon",0
A History of Violence,1
The Virgin Suicides,1
Young Frankenstein,2
Still Alice,1
The Texas Chain Saw Massacre,0
Boogie Nights,3
21 Grams,3
Carlito's Way,3
Erin Brockovich,1
Singin' in the Rain,4
Master and Commander The Far Side of the World,1
Lawless,1
Army of Darkness,2
Silence,0
Last Night in Soho,1
The Tomorrow War,1
Escape from New York,3
Fantasia,0
Three Steps Above Heaven,4
The Reader,3
Memoirs of a Geisha,3
Elvis,2
Promising Young Woman,1
The Last of the Mohicans,0
Evil Dead II,3
The Trial of the Chicago 7,1
Through My Window,1
The Girl with the Dragon Tattoo,3
Carnage,1
The Butler,1
Hocus Pocus,1
The Master,1
The SpongeBob Movie Sponge on the Run,2
The Name of the Rose,2
Dragon Ball Super Broly,2
The Thin Red Line,0
Big Trouble in Little China,2
All the Bright Places,1
The Seventh Seal,3
They Live,0
From Russia with Love,4
Lawrence of Arabia,4
Poltergeist,0
Palm Springs,1
Let the Right One In,0
Nomadland,1
Instant Family,1
Dog Day Afternoon,0
The Orphanage,3
The Wind Rises,1
Office Space,4
Flipped,1
The Best Offer,1
Ferdinand,1
The Next Three Days,1
Suspiria,3
Walk the Line,4
The Dreamers,1
Coach Carter,0
Hotel Rwanda,0
The Life Aquatic with Steve Zissou,2
The Darkest Minds,0
Good Time,2
The Little Prince,2
The Abyss,3
Seven Years in Tibet,1
Irreversible,3
The Mitchells vs. the Machines,2
Spies in Disguise,2
The Rocky Horror Picture Show,3
Greyhound,1
Paths of Glory,3
Mud,1
Coherence,1
The Secret World of Arrietty,1
Dragon Ball Super Super Hero,2
Barry Lyndon,4
Escape from Alcatraz,0
Christopher Robin,4
August Rush,0
Dark City,3
The Florida Project,1
Kung Fu Hustle,4
Tucker and Dale vs. Evil,1
Elemental,2
Ben-Hur,4
Guillermo del Toro's Pinocchio,3
"South Park Bigger, Longer & Uncut",2
Almost Famous,0
Peter Pan,4
Kiss Kiss Bang Bang,2
True Romance,3
The Book of Life,2
Wallace & Gromit The Curse of the Were-Rabbit,2
"Good Morning, Vietnam",1
Metropolis,0
The Best of Me,1
Remember the Titans,3
Me and Earl and the Dying Girl,1
Martyrs,3
Patriots Day,0
They Call Me Jeeg,1
Rope,3
Booksmart,1
Concussion,3
Chicago,1
To Kill a Mockingbird,4
Munich,3
The Land Before Time,2
Lost Highway,0
Dial M for Murder,0
The Sting,1
Amores Perros,3
In the Mood for Love,0
Incendies,1
Dungeons & Dragons Honor Among Thieves,2
Legends of the Fall,1
Sunset Boulevard,3
The Space Between Us,1
Evil Dead Rise,1
Loving Vincent,0
Richard Jewell,1
The Great Escape,4
The Boss Baby Family Business,4
The Assassination of Jesse James by the Coward Robert Ford,0
Awakenings,0
Clerks,4
Sound of Metal,3
I Saw the Devil,1
Midway,1
Rushmore,2
A Time to Kill,3
Don't Breathe 2,1
The Big Sick,1
Babylon,1
Adaptation.,4
Tom Clancy's Without Remorse,3
Beautiful Boy,4
Run,3
The Forever Purge,1
Dirty Harry,4
Hustle,1
Dogville,4
Safe Haven,1
